reference_lang,rank,article,detected_language,score,source_file
pt,1,Desenvolvimento-regional-no-Brasil_politicas_estrategias-e-perspectivas.txt,pt,0.7107,resultados_correlacao_top15_PT_Modelo de Outline_ALTERADO_Introdução.txt
pt,2,20120219120507.txt,pt,0.7031,resultados_correlacao_top15_PT_Modelo de Outline_ALTERADO_Introdução.txt
pt,3,LV_206962_Cap.3.txt,pt,0.6907,resultados_correlacao_top15_PT_Modelo de Outline_ALTERADO_Introdução.txt
pt,4,Livro_Arranjos_Produtivos_Locais_-_20_anos_da_RedeSist (1).txt,pt,0.689,resultados_correlacao_top15_PT_Modelo de Outline_ALTERADO_Introdução.txt
pt,5,597913277-Economia-para-atividades-culturais-e-criativas.txt,pt,0.689,resultados_correlacao_top15_PT_Modelo de Outline_ALTERADO_Introdução.txt
pt,6,20120806083441.txt,pt,0.6717,resultados_correlacao_top15_PT_Modelo de Outline_ALTERADO_Introdução.txt
pt,7,Papel dos bcos desenvolvimentos no financiamento do desenvolvimento sustentável.txt,pt,0.6665,resultados_correlacao_top15_PT_Modelo de Outline_ALTERADO_Introdução.txt
pt,8,Economia Criativa.txt,pt,0.663,resultados_correlacao_top15_PT_Modelo de Outline_ALTERADO_Introdução.txt
pt,9,PRLiv_216220_Um novo BNDES para os novos tempos.txt,pt,0.6593,resultados_correlacao_top15_PT_Modelo de Outline_ALTERADO_Introdução.txt
pt,10,economia da cultura_tomo 2_ISSU.txt,pt,0.6553,resultados_correlacao_top15_PT_Modelo de Outline_ALTERADO_Introdução.txt
pt,11,Economia Criativa_eBook.txt,pt,0.6529,resultados_correlacao_top15_PT_Modelo de Outline_ALTERADO_Introdução.txt
pt,12,macroeconomia-teoria-e-aplicaoes-de-politica-economica.txt,pt,0.6494,resultados_correlacao_top15_PT_Modelo de Outline_ALTERADO_Introdução.txt
pt,13,economia da cultura_tomo 1_ISSU.txt,pt,0.6469,resultados_correlacao_top15_PT_Modelo de Outline_ALTERADO_Introdução.txt
pt,14,economia_20da_20cultura_tomo_201_ISSU.txt,pt,0.6467,resultados_correlacao_top15_PT_Modelo de Outline_ALTERADO_Introdução.txt
pt,15,"BCOS PUBLICOS DE DESENVOLVIMENTO juliaangst,+art1_araujo.txt",pt,0.6448,resultados_correlacao_top15_PT_Modelo de Outline_ALTERADO_Introdução.txt
en,1,Towards the Construction of Territorial Intelligence Tourism Concept in Latin America.txt,en,0.7679,resultados_correlacao_top15_PT_Modelo de Outline_ALTERADO_EN_Introdução_EN.txt
en,2,reshaping polices for criativity.txt,en,0.6949,resultados_correlacao_top15_PT_Modelo de Outline_ALTERADO_EN_Introdução_EN.txt
en,3,The Political Economy of the Creative and Cultural - Leandro Valiati - 2025 - Routledge.txt,en,0.6655,resultados_correlacao_top15_PT_Modelo de Outline_ALTERADO_EN_Introdução_EN.txt
en,4,AFD-UNDP-FICS2022.txt,en,0.6609,resultados_correlacao_top15_PT_Modelo de Outline_ALTERADO_EN_Introdução_EN.txt
en,5,The green swan - Central banking and financial stability in the age of climate change.txt,en,0.6533,resultados_correlacao_top15_PT_Modelo de Outline_ALTERADO_EN_Introdução_EN.txt
en,6,Raising-ambition-and-accelerating-delivery-of-climate-finance_Third-IHLEG-report.txt,en,0.645,resultados_correlacao_top15_PT_Modelo de Outline_ALTERADO_EN_Introdução_EN.txt
en,7,2023-tourism-and-rural-development-a-policy-perspective.txt,en,0.6423,resultados_correlacao_top15_PT_Modelo de Outline_ALTERADO_EN_Introdução_EN.txt
en,8,Managing the Impacts of.txt,en,0.6362,resultados_correlacao_top15_PT_Modelo de Outline_ALTERADO_EN_Introdução_EN.txt
en,9,FSI Insights 42_ Diversity and inclusion – embracing the true colours in financial supervision.txt,en,0.6341,resultados_correlacao_top15_PT_Modelo de Outline_ALTERADO_EN_Introdução_EN.txt
en,10,Investing in Climate for Growth and Development (EN).txt,en,0.6245,resultados_correlacao_top15_PT_Modelo de Outline_ALTERADO_EN_Introdução_EN.txt
en,11,New-economy-for-Brazil-Empirical-framework-scenario-analysis.txt,en,0.6232,resultados_correlacao_top15_PT_Modelo de Outline_ALTERADO_EN_Introdução_EN.txt
en,12,Unveiling the global trade network of digital production technologies_ a new product classification.txt,en,0.62,resultados_correlacao_top15_PT_Modelo de Outline_ALTERADO_EN_Introdução_EN.txt
en,13,Contribution_of_the_Cultural_and_Creative_Industri.txt,en,0.6135,resultados_correlacao_top15_PT_Modelo de Outline_ALTERADO_EN_Introdução_EN.txt
en,14,World employment and social outlook trends 2025.txt,en,0.6059,resultados_correlacao_top15_PT_Modelo de Outline_ALTERADO_EN_Introdução_EN.txt
en,15,Revitalizing Communities_ A Literature Review on the Economic Impact of Rural Tourism Development.txt,en,0.5647,resultados_correlacao_top15_PT_Modelo de Outline_ALTERADO_EN_Introdução_EN.txt
es,1,La CEPAL y la integración económica de América Latina.txt,es,0.7879,resultados_correlacao_top15_PT_Modelo de Outline_ALTERADO_ES_Introdução_ES.txt
es,2,Revista CEPAL No 141.txt,es,0.7851,resultados_correlacao_top15_PT_Modelo de Outline_ALTERADO_ES_Introdução_ES.txt
es,3,Superar las trampas del desarrollo de América Latina y el Caribe en la era digital_ el potencial transformador de las tecnologías digitales y la inteligencia artificial.txt,es,0.762,resultados_correlacao_top15_PT_Modelo de Outline_ALTERADO_ES_Introdução_ES.txt
es,4,La autonomía de las mujeres en escenarios económicos cambiantes.txt,es,0.7568,resultados_correlacao_top15_PT_Modelo de Outline_ALTERADO_ES_Introdução_ES.txt
es,5,Revista CEPAL No 141 (2).txt,es,0.7468,resultados_correlacao_top15_PT_Modelo de Outline_ALTERADO_ES_Introdução_ES.txt
es,6,Revista CEPAL No 141 (1).txt,es,0.7179,resultados_correlacao_top15_PT_Modelo de Outline_ALTERADO_ES_Introdução_ES.txt
es,7,El Estado en contracción.txt,es,0.7034,resultados_correlacao_top15_PT_Modelo de Outline_ALTERADO_ES_Introdução_ES.txt
es,8,Revista CEPAL No 143.txt,es,0.6724,resultados_correlacao_top15_PT_Modelo de Outline_ALTERADO_ES_Introdução_ES.txt
es,9,Informe Plataformas Digitales_ESP_web.txt,es,0.6075,resultados_correlacao_top15_PT_Modelo de Outline_ALTERADO_ES_Introdução_ES.txt
es,10,20120219120507.txt,pt,0.4258,resultados_correlacao_top15_PT_Modelo de Outline_ALTERADO_ES_Introdução_ES.txt
es,11,scielo.br-j-rec-a-jLtLx335tRMr6yhMFYySBhL-_format=pdf&lang=pt.txt,pt,0.4107,resultados_correlacao_top15_PT_Modelo de Outline_ALTERADO_ES_Introdução_ES.txt
es,12,Livro_Arranjos_Produtivos_Locais_-_20_anos_da_RedeSist (1).txt,pt,0.4102,resultados_correlacao_top15_PT_Modelo de Outline_ALTERADO_ES_Introdução_ES.txt
es,13,Papel dos bcos desenvolvimentos no financiamento do desenvolvimento sustentável.txt,pt,0.3964,resultados_correlacao_top15_PT_Modelo de Outline_ALTERADO_ES_Introdução_ES.txt
es,14,597913277-Economia-para-atividades-culturais-e-criativas.txt,pt,0.3949,resultados_correlacao_top15_PT_Modelo de Outline_ALTERADO_ES_Introdução_ES.txt
es,15,LV_206962_Cap.3.txt,pt,0.3936,resultados_correlacao_top15_PT_Modelo de Outline_ALTERADO_ES_Introdução_ES.txt
